OBJECTID_1,OBJECTID,CD_USO_SOL,CD_UNIDADE,CD_REGIAO,CD_PROJETO,AREA_HA,CD_TALHAO,ID_REGIAO,ID_PROJETO,Shape_Leng,Shape_Area,CAMALHAO
29610,1197230,96641,1,13,2769,0.09000000000,012B,12,R510,0.03928730994,0.00000008368,Classe 1
29611,1077666,278104,1,11,2390,0.77000000000,040A,11,656,0.00209376606,0.00000072015,Classe 1
29612,1077667,278101,1,11,2390,0.46000000000,028A,11,656,0.00801782151,0.00000043068,Classe 1
29613,1103630,287377,1,11,6380,0.27000000000,001C,11,G874,0.00462479982,0.00000024795,Classe 1
29614,1202357,301045,1,11,1030,13.94000000000,035A,11,048,0.03524630678,0.00001306714,Classe 3
29615,1103635,287357,1,11,6386,0.05000000000,011D,11,G880,0.00101055091,0.00000004552,Classe 1
29616,1103636,275781,1,11,6386,0.44000000000,001E,11,G880,0.00323393502,0.00000041046,Classe 1
29617,1103637,287399,1,11,6326,1.03000000000,003B,11,G870,0.00215595668,0.00000096396,Classe 3
29618,1103638,287394,1,11,6381,0.02000000000,005C,11,G875,0.01405355611,0.00000001914,Classe 3
29619,1065212,186174,1,11,1064,0.33000000000,043D,11,091,0.00101651122,0.00000031211,Classe 3
29620,1065216,150636,1,11,1064,20.84000000000,050B,11,091,0.03378228234,0.00001954144,Classe 3
29621,1065217,257050,1,11,1064,1.50000000000,055B,11,091,0.01294311302,0.00000140573,Classe 1
29622,1065170,257060,1,11,1064,33.55000000000,044A,11,091,0.00358046462,0.00003146701,Classe 1
29623,1065171,274969,1,11,1064,0.50000000000,044C,11,091,0.00271682548,0.00000046795,Classe 1
29624,1065172,186250,1,11,1064,0.39000000000,019B,11,091,0.02397590559,0.00000036367,Classe 1
29625,1065234,257054,1,11,1064,15.29000000000,050A,11,091,0.00870503896,0.00001434518,Classe 1
29626,1065235,257055,1,11,1064,8.10000000000,055A,11,091,0.00870503896,0.00000760175,Classe 2
29627,1097619,275495,1,11,6377,13.65000000000,003A,11,G910,0.00107797834,0.00001288963,Classe 1
29628,1097620,275497,1,11,6377,21.27000000000,005A,11,G910,0.00101651122,0.00002008737,Classe 1
29629,1109328,288811,1,11,6383,0.06000000000,014D,11,G877,0.00385460304,0.00000005418,Classe 2
29630,1109365,275742,1,11,6383,0.52000000000,029E,11,G877,0.10538510173,0.00000048699,Classe 1
29631,1109367,288812,1,11,6383,0.14000000000,040C,11,G877,0.00107797834,0.00000013542,Classe 1
29632,1109368,288864,1,11,6383,0.19000000000,030I,11,G877,0.10538510173,0.00000017398,Classe 3
29633,1109370,288810,1,11,6383,0.60000000000,056C,11,G877,0.00101055091,0.00000055721,Classe 3
29634,1196517,310203,1,11,1980,0.13000000000,004C,11,263,0.00101055091,0.00000012610,Classe 1
29635,1109406,288833,1,11,6383,0.12000000000,024C,11,G877,0.00365262294,0.00000011396,Classe 3
29636,1109407,275739,1,11,6383,0.08000000000,017B,11,G877,0.00107797834,0.00000007821,Classe 1
29637,1109408,288820,1,11,6383,0.30000000000,022B,11,G877,0.00107797834,0.00000027572,Classe 1
29638,1196518,311335,1,11,1086,1.42000000000,077J,11,022,0.00574470030,0.00000133603,Classe 2
29639,1216052,301489,1,11,1015,1.22000000000,005C,11,027,0.14922998877,0.00000114993,Classe 1
29640,1109403,288831,1,11,6383,0.62000000000,015B,11,G877,0.00101055091,0.00000057566,Classe 1
29641,1196558,309503,1,11,2526,0.98000000000,001B,11,681,0.00107797834,0.00000092200,Classe 1
29642,1196534,307999,1,11,1187,29.31000000000,002D,11,007,0.00101079607,0.00002745600,Classe 1
29643,1196535,310201,1,11,1980,0.49000000000,003E,11,263,0.00107797834,0.00000046273,Classe 3
29644,1196536,312931,1,11,2565,0.05000000000,008C,11,686,0.00107797834,0.00000004683,Classe 1
29645,1196537,310205,1,11,1980,0.12000000000,014B,11,263,0.02277916884,0.00000011415,Classe 1
29646,1119182,275818,1,11,6387,7.08000000000,012A,11,G881,0.04943703733,0.00000664989,Classe 3
29647,1119183,291332,1,11,6387,1.16000000000,049B,11,G881,0.00215595668,0.00000108905,Classe 1
29648,1119184,275809,1,11,6387,1.62000000000,003A,11,G881,0.02115409140,0.00000151789,Classe 1
29649,1119186,291324,1,11,6387,0.12000000000,004C,11,G881,0.00448858294,0.00000010850,Classe 3
29650,1119188,291315,1,11,6387,0.25000000000,036B,11,G881,0.03529385747,0.00000023358,Classe 3
